language,filename,blank,comment,code,"github.com/AlDanial/cloc v 2.06  T=0.81 s (2626.9 files/s 634916.5 lines/s)"
C,Open3D/3rdparty/glew/src/glew.c,2883,90,25608
C/C++ Header,Open3D/3rdparty/glfw/deps/nuklear.h,2369,3228,18120
C/C++ Header,Open3D/3rdparty/glew/include/GL/glew.h,4870,922,17894
C,Open3D/3rdparty/glew/src/glewinfo.c,3733,67,13081
C,Open3D/3rdparty/tinyfiledialogs/include/tinyfiledialogs/tinyfiledialogs.c,478,335,4851
C/C++ Header,Open3D/3rdparty/glfw/deps/vulkan/vulkan.h,634,23,4106
C/C++ Header,Open3D/3rdparty/glfw/deps/glad/glad.h,16,22,3642
C++,Open3D/cpp/tests/core/Tensor.cpp,579,257,2732
C,Open3D/3rdparty/glfw/src/x11_window.c,461,197,2384
C++,Open3D/cpp/open3d/visualization/visualizer/O3DVisualizer.cpp,302,88,2182
C/C++ Header,Open3D/3rdparty/glfw/deps/mingw/dinput.h,189,188,2090
C++,Open3D/cpp/tests/geometry/TriangleMesh.cpp,283,46,1913
C++,Open3D/cpp/pybind/visualization/gui/gui.cpp,81,132,1694
C/C++ Header,Open3D/cpp/open3d/core/linalg/kernel/SVD3x3.h,366,187,1667
C++,Open3D/cpp/open3d/visualization/rendering/filament/FilamentScene.cpp,202,94,1637
C,Open3D/3rdparty/glfw/deps/glad.c,29,23,1626
C/C++ Header,Open3D/3rdparty/glew/include/GL/eglew.h,792,209,1617
CMake,Open3D/3rdparty/find_dependencies.cmake,85,319,1564
C++,Open3D/cpp/open3d/core/Tensor.cpp,277,107,1562
C,Open3D/3rdparty/glfw/src/win32_window.c,313,144,1555
C++,Open3D/cpp/open3d/geometry/TriangleMesh.cpp,148,48,1524
C/C++ Header,Open3D/3rdparty/uvatlas/sal.h,607,838,1513
Objective-C,Open3D/3rdparty/glfw/src/cocoa_window.m,336,121,1448
C/C++ Header,Open3D/cpp/open3d/t/geometry/kernel/VoxelBlockGridImpl.h,256,103,1335
C++,Open3D/cpp/tests/geometry/PointCloud.cpp,173,81,1282
C,Open3D/3rdparty/rply/rply/rply.c,124,212,1257
C,Open3D/3rdparty/glfw/src/wl_window.c,212,86,1244
Python,Open3D/python/test/core/test_core.py,266,109,1216
C++,Open3D/cpp/pybind/data/dataset.cpp,57,59,1160
C++,Open3D/cpp/open3d/visualization/visualizer/GuiVisualizer.cpp,152,68,1148
C/C++ Header,Open3D/3rdparty/glew/include/GL/glxew.h,479,151,1145
C++,Open3D/cpp/open3d/t/geometry/PointCloud.cpp,154,45,1099
C/C++ Header,Open3D/cpp/open3d/t/geometry/kernel/PointCloudImpl.h,176,59,1059
C++,Open3D/cpp/open3d/t/geometry/TriangleMesh.cpp,132,70,1055
C++,Open3D/cpp/open3d/t/io/file_format/FilePCD.cpp,124,30,1052
C++,Open3D/cpp/open3d/visualization/gui/SceneWidget.cpp,150,52,1029
C,Open3D/3rdparty/glew/src/visualinfo.c,77,192,1028
C++,Open3D/cpp/tests/t/geometry/TriangleMesh.cpp,161,52,1003
C,Open3D/3rdparty/glfw/src/wl_init.c,114,42,1001
C++,Open3D/cpp/tests/t/geometry/PointCloud.cpp,177,63,993
JavaScript,Open3D/python/open3d/visualization/tensorboard_plugin/frontend/index.js,56,314,983
C++,Open3D/cpp/open3d/visualization/rendering/filament/FilamentResourceManager.cpp,148,44,981
C++,Open3D/cpp/tests/data/Dataset.cpp,195,6,974
C++,Open3D/cpp/open3d/t/geometry/RaycastingScene.cpp,147,53,968
C,Open3D/3rdparty/glfw/src/input.c,259,82,967
C/C++ Header,Open3D/3rdparty/glew/include/GL/wglew.h,380,115,952
CUDA,Open3D/cpp/open3d/core/kernel/ReductionCUDA.cu,116,82,936
C/C++ Header,Open3D/cpp/apps/OfflineReconstruction/LegacyReconstructionUtil.h,118,47,916
C++,Open3D/cpp/open3d/visualization/gui/Window.cpp,153,173,902
C++,Open3D/cpp/tests/geometry/Image.cpp,199,78,880
C,Open3D/3rdparty/glfw/src/xkb_unicode.c,15,67,858
C/C++ Header,Open3D/cpp/open3d/core/SmallVector.h,215,310,857
C++,Open3D/cpp/open3d/io/file_format/FilePLY.cpp,122,10,856
C++,Open3D/cpp/pybind/core/tensor.cpp,78,59,856
C,Open3D/3rdparty/glfw/src/window.c,183,69,847
HTML,Open3D/3rdparty/rply/rply/manual/manual.html,191,28,837
C,Open3D/3rdparty/glfw/src/x11_init.c,128,124,801
C++,Open3D/cpp/open3d/geometry/TriangleMeshFactory.cpp,80,42,796
Python,Open3D/python/test/data/test_data.py,214,6,793
C++,Open3D/cpp/pybind/t/geometry/trianglemesh.cpp,173,21,775
C++,Open3D/cpp/pybind/geometry/trianglemesh.cpp,7,6,772
C++,Open3D/cpp/open3d/visualization/shader/SimpleShader.cpp,59,28,770
C/C++ Header,Open3D/3rdparty/glfw/deps/stb_image_write.h,136,148,764
